C1	C2	C3
250.0000	44.0000	*
1420.0000	55.0000	*
3840.0000	77.0000	*
4260.0000	72.0000	*
3450.0000	47.0000	*
7200.0000	75.0000	*
3350.0000	74.0000	*
2177.0000	69.0000	*
40350.0000	82.0000	*
46260.0000	80.0000	*
3830.0000	70.0000	*
15730.0000	74.0000	*
19350.0000	76.0000	*
520.0000	66.0000	*
11906.0000	77.0000	*
5380.0000	69.0000	*
44330.0000	80.0000	*
3820.0000	76.0000	*
690.0000	61.0000	*
1900.0000	66.0000	*
1460.0000	66.0000	*
4510.0000	75.0000	*
6470.0000	54.0000	*
7350.0000	72.0000	*
26740.0000	77.0000	*
5490.0000	73.0000	*
480.0000	53.0000	*
140.0000	51.0000	*
600.0000	61.0000	*
1150.0000	51.0000	*
41730.0000	81.0000	*
3130.0000	71.0000	*
6992.0000	69.0000	*
410.0000	47.0000	*
530.0000	49.0000	*
9400.0000	79.0000	*
2770.0000	73.0000	*
4660.0000	73.0000	*
750.0000	65.0000	*
1970.0000	54.0000	*
150.0000	48.0000	*
6060.0000	79.0000	*
980.0000	57.0000	*
13570.0000	76.0000	*
11905.0000	79.0000	*
22950.0000	80.0000	*
16600.0000	77.0000	*
59130.0000	78.0000	*
2778.0000	67.0000	*
1130.0000	55.0000	*
4390.0000	73.0000	*
3136.0000	72.0000	*
1409.0000	53.0000	*
3640.0000	75.0000	*
1800.0000	70.0000	*
3480.0000	72.0000	*
14980.0000	50.0000	*
300.0000	60.0000	*
14270.0000	73.0000	*
280.0000	55.0000	*
2340.0000	69.0000	*
3930.0000	69.0000	*
48120.0000	80.0000	*
42250.0000	81.0000	*
7240.0000	60.0000	*
390.0000	56.0000	*
2470.0000	72.0000	*
42440.0000	80.0000	*
670.0000	57.0000	*
28650.0000	79.0000	*
5710.0000	75.0000	*
2680.0000	70.0000	*
390.0000	58.0000	*
250.0000	48.0000	*
1420.0000	67.0000	*
660.0000	61.0000	*
1800.0000	72.0000	*
12810.0000	73.0000	*
40070.0000	82.0000	*
1070.0000	64.0000	*
2010.0000	71.0000	*
40772.0000	80.0000	*
3540.0000	71.0000	*
2170.0000	68.0000	*
49590.0000	80.0000	*
24700.0000	81.0000	*
35240.0000	81.0000	*
4870.0000	72.0000	*
38210.0000	83.0000	*
3310.0000	73.0000	*
6140.0000	65.0000	*
770.0000	54.0000	*
975.0000	67.0000	*
21530.0000	79.0000	*
38420.0000	78.0000	*
740.0000	68.0000	*
750.0000	65.0000	*
6888.0000	74.0000	*
11860.0000	73.0000	*
583.0000	57.0000	*
6350.0000	72.0000	*
1080.0000	45.0000	*
170.0000	58.0000	*
11590.0000	74.0000	*
11870.0000	72.0000	*
84890.0000	80.0000	*
4140.0000	74.0000	*
410.0000	60.0000	*
290.0000	53.0000	*
6970.0000	74.0000	*
3630.0000	72.0000	*
580.0000	48.0000	*
16680.0000	80.0000	*
840.0000	57.0000	*
6400.0000	72.0000	*
9980.0000	76.0000	*
3942.0000	70.0000	*
1680.0000	67.0000	*
5710.0000	74.0000	*
2580.0000	71.0000	*
370.0000	48.0000	*
220.0000	62.0000	*
4200.0000	61.0000	*
400.0000	67.0000	*
50150.0000	80.0000	*
27940.0000	80.0000	*
1080.0000	73.0000	*
330.0000	51.0000	*
1160.0000	48.0000	*
87070.0000	81.0000	*
12270.0000	76.0000	*
980.0000	67.0000	*
1230.0000	74.0000	*
6180.0000	76.0000	*
1010.0000	61.0000	*
2180.0000	72.0000	*
3990.0000	73.0000	*
1890.0000	72.0000	*
11880.0000	76.0000	*
20560.0000	79.0000	*
12000.0000	76.0000	*
1470.0000	69.0000	*
7930.0000	73.0000	*
9620.0000	67.0000	*
410.0000	50.0000	*
5530.0000	74.0000	*
2780.0000	72.0000	*
1020.0000	66.0000	*
15500.0000	73.0000	*
970.0000	56.0000	*
6440.0000	74.0000	*
320.0000	48.0000	*
34760.0000	80.0000	*
14540.0000	75.0000	*
24010.0000	78.0000	*
1180.0000	66.0000	*
140.0000	50.0000	*
5820.0000	52.0000	*
1001.0000	64.0000	*
31960.0000	81.0000	*
1790.0000	74.0000	*
5140.0000	72.0000	*
1109.0000	52.0000	*
1130.0000	58.0000	*
4990.0000	69.0000	*
2520.0000	46.0000	*
50940.0000	81.0000	*
65330.0000	82.0000	*
2090.0000	74.0000	*
600.0000	67.0000	*
430.0000	56.0000	*
2840.0000	69.0000	*
2460.0000	61.0000	*
400.0000	63.0000	*
2560.0000	72.0000	*
16540.0000	69.0000	*
3290.0000	74.0000	*
9340.0000	72.0000	*
2840.0000	65.0000	*
420.0000	53.0000	*
3210.0000	68.0000	*
26210.0000	77.0000	*
45390.0000	79.0000	*
47580.0000	79.0000	*
8260.0000	76.0000	*
910.0000	68.0000	*
2330.0000	70.0000	*
9230.0000	74.0000	*
890.0000	74.0000	*
833.0000	51.0000	*
8633.0000	69.0000	*
950.0000	63.0000	*
950.0000	45.0000	*
340.0000	44.0000	*
