C1	C2	C3
8.6057	2.2011	1.0000
3.8455	0.0909	1.0000
4.3492	1.1623	1.0000
3.6944	0.6842	1.0000
8.5972	1.1078	1.0000
8.2471	1.4711	1.0000
6.4816	1.6879	1.0000
10.1573	1.7623	1.0000
8.7588	1.3146	1.0000
8.7488	2.0012	1.0000
7.5840	1.5836	1.0000
4.9551	1.5046	*
3.8984	0.8790	1.0000
2.7178	1.0174	*
-3.4444	1.1107	*
0.3427	0.8496	*
-0.7901	0.9831	*
-1.8496	1.1703	*
-2.8148	0.8945	*
-3.6598	0.9658	*
-4.3497	0.9068	*
-4.8609	0.4676	*
-5.1827	0.5553	*
-2.4686	0.0120	1.0000
-2.6650	0.3252	*
-3.6881	0.2639	1.0000
-5.2639	0.5192	1.0000
-4.9434	0.3151	1.0000
-7.1899	0.4367	1.0000
-2.8438	0.5904	*
-1.0132	0.3228	*
-0.0686	0.5595	*
2.8273	0.0043	1.0000
3.1902	0.6959	1.0000
3.1042	0.8315	*
1.1015	0.2371	1.0000
-1.1658	0.5418	1.0000
0.1923	1.7258	1.0000
5.0694	1.3228	1.0000
2.2496	0.9186	1.0000
7.9197	1.0929	1.0000
8.6455	1.5420	1.0000
7.4881	0.5380	1.0000
2.8567	0.7167	*
1.6164	0.0192	1.0000
-0.4099	0.1391	1.0000
-1.3459	0.0205	1.0000
-0.5025	0.2038	1.0000
-0.6054	0.5533	1.0000
-0.4486	0.4986	*
-1.1967	0.5628	1.0000
-1.0328	0.9130	*
-2.6268	0.4466	1.0000
-2.9582	0.7721	1.0000
-1.9538	0.5477	1.0000
-3.7620	0.4517	1.0000
-1.6124	0.4561	1.0000
-6.0563	0.5481	*
-7.2139	0.2351	1.0000
-6.1877	0.1128	1.0000
-1.4028	1.0828	1.0000
-0.3455	0.6887	*
-0.6269	0.7489	1.0000
-0.5439	0.1572	1.0000
-5.0933	0.1475	1.0000
-0.3257	0.8884	1.0000
2.4332	0.4429	1.0000
2.5083	0.3057	1.0000
0.3148	0.6743	1.0000
5.2908	1.4651	1.0000
0.4075	0.4535	1.0000
1.6818	0.8776	1.0000
6.7323	0.2010	1.0000
9.1726	2.0554	1.0000
13.9231	3.2628	1.0000
13.2774	0.8914	1.0000
12.8281	1.5369	1.0000
12.8824	2.0430	1.0000
8.9774	1.7276	1.0000
13.0815	2.3949	1.0000
10.2170	1.6662	1.0000
12.9136	1.8619	1.0000
12.3132	0.9676	*
11.4827	2.1283	1.0000
11.9881	1.1216	*
12.2279	2.4183	1.0000
11.8816	2.9264	1.0000
11.3201	1.5958	*
8.4460	2.2217	1.0000
11.3216	1.8934	1.0000
11.4877	0.0817	1.0000
10.0753	1.2596	1.0000
11.5818	1.7202	1.0000
10.6538	1.9385	1.0000
10.4967	2.6576	1.0000
15.1780	4.3013	1.0000
9.7379	2.5361	*
7.3250	1.1778	1.0000
2.9984	0.4820	1.0000
6.8609	1.8981	1.0000
9.3035	1.8505	1.0000
9.5936	2.5900	1.0000
10.8051	2.0518	1.0000
12.0276	1.0192	1.0000
9.1834	2.8274	1.0000
8.0090	2.2414	*
8.0686	2.1100	*
8.2356	1.6695	*
9.1989	1.1526	1.0000
6.4490	4.1080	1.0000
6.4050	1.2259	1.0000
8.6240	0.7958	1.0000
10.6341	3.0243	*
11.3364	2.8493	*
10.7821	3.8664	1.0000
11.9585	3.8530	1.0000
10.3617	2.0187	1.0000
14.7851	4.2980	1.0000
18.5377	0.5412	1.0000
17.4118	5.7920	1.0000
17.9843	7.5932	1.0000
21.1011	7.0477	1.0000
13.9018	3.8562	*
10.4441	3.2920	1.0000
8.8548	3.6255	1.0000
9.3549	2.6299	1.0000
8.3709	3.4132	1.0000
8.1141	2.4573	1.0000
6.9316	1.0243	1.0000
7.9832	2.1210	1.0000
8.0346	2.5963	1.0000
13.3419	2.9166	1.0000
13.7900	1.2544	1.0000
12.8357	6.5237	1.0000
11.1217	0.3711	1.0000
10.2370	3.2978	*
10.1596	3.3942	1.0000
8.2395	2.8131	1.0000
12.4320	2.0488	1.0000
18.8624	2.7688	1.0000
14.2362	5.5940	1.0000
14.1443	4.9504	1.0000
12.0013	3.4668	1.0000
13.5385	3.5775	1.0000
19.5630	5.8068	1.0000
20.5054	5.4967	1.0000
20.9198	7.0282	1.0000
21.1129	2.9680	1.0000
23.2174	5.5568	1.0000
11.4080	3.4352	1.0000
11.7649	1.7463	1.0000
14.8158	2.0420	1.0000
18.3225	3.5105	1.0000
17.2346	7.8175	1.0000
16.4052	5.8601	1.0000
14.9377	2.7458	1.0000
10.9527	2.5977	1.0000
8.0907	2.5442	1.0000
10.8805	2.9061	1.0000
11.5141	0.9717	1.0000
13.8924	3.1796	1.0000
12.4136	5.2515	1.0000
15.9415	1.8112	1.0000
18.1831	5.3040	1.0000
17.0274	4.4730	*
17.8273	3.1614	1.0000
19.3320	2.6187	1.0000
20.9546	2.7840	1.0000
19.2578	2.7895	1.0000
22.6400	3.4757	1.0000
22.9671	3.8456	1.0000
22.8430	4.6334	1.0000
21.0662	3.4962	1.0000
21.7914	5.8437	1.0000
23.2372	3.5373	1.0000
21.7337	2.7825	1.0000
21.0764	2.7292	1.0000
20.5803	3.3450	*
21.7859	3.7225	1.0000
18.3226	5.2435	1.0000
18.3816	4.3149	*
16.5420	5.5591	1.0000
18.8840	5.6584	1.0000
18.6513	1.1635	1.0000
15.2994	3.7838	1.0000
13.0375	6.3098	1.0000
15.7333	5.2219	1.0000
15.5822	5.7088	*
13.3161	4.4937	1.0000
14.1710	4.3230	1.0000
16.2561	5.8932	*
15.6232	7.1603	1.0000
17.3956	4.7805	1.0000
19.1689	5.2722	*
21.0240	5.7781	1.0000
24.3980	6.8318	1.0000
19.2616	5.8696	*
21.8129	5.2549	*
20.3200	6.5405	1.0000
17.5128	5.5533	1.0000
20.6286	4.4620	*
18.4451	7.8910	1.0000
15.9351	6.0320	1.0000
17.7674	2.6520	1.0000
20.6986	5.7923	*
19.8347	4.9369	1.0000
20.1745	5.1878	*
25.6915	5.3072	1.0000
24.0731	1.7898	1.0000
18.4380	7.2562	1.0000
16.8172	5.0591	1.0000
16.4576	0.0427	1.0000
17.0654	4.8983	*
16.5327	5.3636	*
16.7076	4.9590	1.0000
14.9588	5.2075	1.0000
15.9211	5.4634	1.0000
14.9738	1.9975	1.0000
14.8622	4.3169	*
12.4024	4.5874	1.0000
15.0577	4.4475	1.0000
16.1884	4.7118	*
11.3770	3.8921	1.0000
16.6526	2.3616	1.0000
15.0754	3.9923	1.0000
11.4617	3.5981	1.0000
15.8032	3.2975	*
