X1	X2	X3	X4	X5	X6	X7	X8	X9
-3.628685	-3.223134	-3.621790	-4.158318	-3.670927	-4.329659	-0.809761	0.228545	-2.629178
-0.842430	-2.947683	-0.922628	-0.180935	-4.390694	-3.278516	-3.076620	-0.750893	-2.889589
-1.128424	-1.723921	-3.635778	-3.022981	-2.644398	-2.656211	-0.969165	0.330451	-2.711511
-0.301468	-2.065350	-1.335043	-4.134057	-2.877242	-2.303947	-0.500798	-2.011425	-1.993748
-2.265762	-2.499273	-2.374524	-2.789466	-2.314626	-1.062925	-0.570819	0.227774	-2.706899
0.485791	-1.988291	-0.493925	-2.690208	-3.014454	-3.375847	-0.663727	-1.369951	-1.408066
1.654790	-2.940608	-3.664946	-0.184284	-2.144126	-1.041113	-2.421224	-0.683404	-1.303752
0.022234	-0.466924	-0.537591	-2.785498	-2.863846	-2.068727	-0.706910	-0.670487	-2.058557
-1.784379	-1.816344	-2.021061	-3.244749	-1.410614	-2.161589	-1.663585	-3.762901	-0.751282
-1.184651	-2.560569	-2.948958	-2.648140	-1.763234	-2.566601	-1.936050	-2.447650	2.042070
-1.726084	-3.281900	0.164815	-4.698472	-2.291407	-3.537565	0.685295	-3.852434	0.072298
-0.962978	-1.567042	-0.459243	0.369353	-2.267734	-1.419082	3.153749	-4.225556	0.513400
0.106663	-0.863795	-1.088735	2.607534	4.619082	-0.471754	2.405512	-3.792118	0.595075
-1.877460	1.256337	-0.534163	2.640269	3.538438	3.138317	1.213784	-2.582822	0.971221
-0.507951	1.606353	1.390172	2.636857	3.157934	3.223429	0.117663	-0.405470	-0.050363
-2.304911	4.251150	1.170266	2.485096	4.061568	2.717582	-0.802751	0.287937	-0.903879
-0.777442	0.234326	0.422218	4.294984	3.736736	4.713373	-1.914257	2.843796	-0.863829
-0.393546	0.038079	0.414226	3.146720	4.362238	1.560800	-0.100558	4.268106	1.798685
-0.007225	1.131105	-1.273412	2.702702	0.772171	2.040662	-0.680453	4.165564	0.161862
-0.238980	-1.230096	-0.947399	1.260629	-2.820966	1.038958	-0.016342	4.265970	2.438001
-1.388014	-1.072328	-1.948736	2.276299	-2.961576	0.252285	0.805973	4.516321	-0.132402
