X1	X2	X3	X4	X5	X6	X7	X8	X9
-1.259157	-2.864188	-1.557568	-1.329078	-1.915240	-0.841643	-1.417581	-1.863279	-2.800137
0.656210	-0.754331	0.358751	-1.487668	-2.969971	-3.674963	-1.789367	-2.123403	-1.392587
0.561135	0.871460	-0.977792	-0.554904	-1.421740	-1.951138	-2.699205	-2.370338	-2.700914
-1.036481	-0.893114	-1.238799	-3.470590	-2.860050	-1.551271	-3.059595	-1.604586	-1.974019
-1.189740	0.125148	0.397432	-0.587327	-1.109003	0.537538	-1.083541	-0.388947	2.359799
-1.344239	0.856746	-1.668603	-0.690019	-0.902000	1.410688	-0.846442	-0.576723	4.176237
-0.649880	1.343481	-1.419502	-2.683068	-1.565542	0.590676	-1.089402	-2.322515	3.409295
-1.104761	0.766953	-0.064366	-2.107976	-1.252731	2.523800	-0.329921	-1.264323	3.666371
-1.248182	1.463263	-0.567997	-0.047247	-2.843268	2.536961	-0.652302	-1.311550	0.964065
-1.964244	1.151911	0.715705	-2.248984	-0.919155	1.388155	-0.023445	0.844905	0.094376
-1.649746	3.884198	-0.493560	-0.825187	1.100907	-0.877818	-0.121853	-0.559161	-1.908597
0.063213	0.483924	-0.061293	-1.633261	-0.865284	-1.436760	2.355573	1.100752	-3.813855
-0.336668	0.700989	-0.584695	0.111592	0.237071	-0.931373	3.653131	1.550743	-3.589900
-0.078488	1.596894	0.096134	-1.673131	-1.798629	-1.163058	2.654119	2.049810	0.891668
-2.827047	0.806339	-1.033407	-0.507432	-1.256587	-3.737517	1.214936	2.768253	-1.092053
-1.016045	2.481024	1.243981	-0.604114	-3.083502	-1.883751	-0.540520	0.679870	0.322737
-0.710782	5.024950	1.007397	0.739220	0.045024	-2.069863	-1.879852	-1.426640	4.245337
-0.898758	2.500217	2.127242	-0.933031	1.232288	-0.994653	0.319040	-1.899477	0.707244
-0.345171	4.212124	1.517013	-1.259372	2.994791	-1.262924	-0.305647	-1.580944	1.550660
-0.548023	0.900273	-0.713889	-0.923904	3.305330	-2.792076	-0.430914	-0.574641	-0.139318
-2.950614	-0.938237	-2.739864	-0.938530	-0.487095	-1.128213	-0.582763	3.177032	-0.230692
0.516358	0.669894	1.778785	-0.162354	-0.660686	-2.747734	-1.454196	0.220872	0.158640
-0.694808	-1.231734	3.371359	-0.066376	1.887056	-0.743043	-1.038316	-0.426021	0.097374
-0.670313	-2.686220	4.583956	2.248599	2.530829	-0.740640	-2.689422	0.047951	0.103410
-0.037055	-3.412665	3.173577	0.948070	2.585434	-0.529227	-0.599119	-2.798112	-0.960153
-1.337335	-3.560068	0.155421	1.221933	-0.495632	0.743893	-0.027806	-1.648311	-1.513717
0.018648	-3.876029	-3.854214	-1.494514	1.680430	-0.261280	-2.823787	-0.612548	-0.685681
-1.269408	-1.658050	-2.186328	-2.107673	0.560720	1.024051	-1.624964	0.620777	-1.232948
-0.622601	-1.892629	-2.825222	-3.150347	1.736735	-0.764115	-2.994137	0.729062	-1.750819
0.623068	-4.277467	-4.879096	-4.468439	3.073676	-2.951079	-1.030509	0.913806	-3.214094
-0.296200	-4.273563	-3.266650	-1.624052	2.557840	-2.765445	-2.196283	3.213109	-2.231975
-0.722207	-3.306719	-2.706187	0.906613	0.736528	-3.422312	-2.532959	2.710369	-1.966763
-0.625751	-4.336934	-2.425306	-2.043548	2.480437	-3.550384	0.625061	1.349685	0.189241
-2.722633	-3.742409	1.004892	-1.255337	-0.874132	-0.888061	-0.275627	1.297556	-0.300065
-0.470353	-2.096343	5.482106	-0.910256	-1.232982	0.081654	-2.241623	-0.983618	-2.481980
0.021788	0.152363	7.238036	1.485591	-1.553013	0.974759	0.944771	-2.281639	0.272993
3.298992	1.656609	4.600680	4.195003	1.811774	1.167054	0.672252	-2.118808	0.299153
6.362957	2.659994	4.935638	3.692077	2.649078	2.946936	1.067818	-0.482625	1.723300
6.091184	1.509918	3.865410	4.465610	2.249498	2.238804	2.111968	0.234708	3.184532
3.954972	2.553482	0.271194	3.993600	2.102634	3.211355	2.422200	0.603790	4.533348
6.520421	2.728683	-3.338310	4.458244	1.449284	0.941789	3.303911	2.485220	1.738946
3.620332	0.365823	-4.173502	3.631441	0.407847	2.186603	3.837500	4.156198	1.224027
0.195103	-0.720899	-2.881584	2.213987	0.333523	1.038595	0.090864	0.142422	-1.957712
-1.593265	0.542016	-3.276457	2.208179	0.961710	1.043164	0.690903	-0.007108	-0.204071
-2.608372	-3.216332	-3.044220	2.128317	1.484409	-0.446792	-0.881387	0.368707	-1.412252
-1.593120	-3.528743	-0.050575	2.035497	1.663917	1.518026	0.161192	-0.472735	0.633745
-1.861808	-1.787318	2.287578	4.510816	1.289036	4.843515	-0.113660	-1.327434	1.758117
-1.024735	-3.866258	3.930738	4.883973	3.685562	0.822174	1.705153	-1.852892	1.027565
0.190896	-4.589963	5.309804	4.719166	0.338397	2.568901	0.115230	-0.593608	2.909087
0.029686	-3.219234	5.196476	6.245091	1.681639	1.886495	-0.548332	-0.239784	-0.572118
-1.396964	-4.421770	3.067752	-1.664953	-2.341813	1.092154	-1.433333	-1.095621	2.338548
-1.564357	-3.733073	0.761933	1.120430	0.793141	1.301375	0.837623	-0.229320	-0.739015
-3.326591	-2.846543	-3.565983	-4.111860	-1.079399	2.453458	1.036035	1.238319	-0.726808
-2.148768	1.046919	-1.744996	1.615274	-2.137436	1.699400	2.158401	1.431195	3.381767
-0.876187	0.854213	0.000393	-0.688871	-0.735968	3.718900	0.058319	0.895406	2.463909
-2.021050	0.581139	-1.348316	-0.057997	-0.184497	3.938957	0.334487	1.892352	2.056318
-1.791156	3.780194	-0.667725	-0.747805	-1.741823	4.289867	2.035203	1.612433	0.382292
-1.195106	1.901280	0.670266	-1.272299	-1.420148	1.560331	1.076364	-0.901253	0.849131
-1.290500	3.383494	1.964756	-0.829879	-2.471671	1.908746	0.656670	-2.534306	-2.041367
-2.126039	2.845538	0.197245	1.068351	-0.804193	-0.619489	0.475117	-1.554428	0.282197
1.283777	0.539709	1.958233	1.884589	0.682086	1.275623	-0.003395	0.476882	3.632722
-3.488553	1.289308	-2.154483	3.116434	0.637264	-1.794718	3.378730	1.452822	1.871707
-0.126030	-0.563867	-4.446602	1.107384	-0.533358	0.631485	4.216392	1.336091	4.305051
-1.915353	-0.361916	-3.863825	-0.674464	-1.067482	-1.244669	2.983188	-0.092611	1.121154
-2.332123	-0.900239	-1.869652	-0.972812	-1.573107	-1.310481	0.751616	0.868816	1.976114
-1.809241	-1.848638	-3.055285	-2.228361	-0.135834	-2.860754	3.179075	1.334270	0.082230
-1.822008	-0.343613	-1.801824	-2.275713	0.925637	-0.375688	0.806062	0.763051	-1.455399
-0.060524	-1.140665	0.363831	-0.470671	-0.536595	-0.443386	3.012575	0.443858	-3.119773
-3.884089	1.286605	-0.678422	-0.976436	-1.221130	-0.882348	2.052513	0.662790	-3.332294
0.705596	-1.840402	0.916618	-0.154310	-0.522270	-0.038778	-0.444226	1.828947	-1.386763
4.850930	2.383411	-1.497651	0.115404	-1.444213	-1.037075	2.723756	-0.509072	-1.097480
7.007912	2.269745	0.576371	2.578307	-0.148660	1.122459	2.715056	1.083833	0.262454
3.823743	1.961198	1.107783	1.233194	-1.464312	0.105321	0.283974	0.432161	0.496337
5.763921	0.355270	-1.696915	1.783166	2.206031	3.357711	0.446707	-0.468089	0.345470
4.971845	1.304460	-1.705624	-1.418280	0.729568	-0.955273	1.592153	-1.799918	-0.418150
5.223015	1.836867	-0.169644	-2.771247	1.259900	0.587867	-0.876990	-2.350825	-1.784722
4.417831	4.178891	1.525524	-0.078134	-0.797974	-3.379369	-2.861522	-1.767011	-1.016147
4.407091	6.345631	3.972079	0.347656	1.004046	-0.283484	-1.546647	-3.156678	-2.421527
1.358695	5.077986	3.201420	0.226421	1.049759	-0.532478	-1.054265	1.491275	-2.415562
-1.370158	3.524756	0.918148	-1.486440	-0.329534	-0.218854	-2.208080	-0.805953	-0.144953
-2.965768	3.797039	-1.315238	-1.398628	-0.421834	-1.069912	-2.270491	0.186237	-2.558801
-3.986137	2.085636	-2.569040	0.088155	-2.397741	-2.500554	-1.433302	0.691046	-1.838305
-2.380666	0.786445	-4.795656	0.582607	-0.916056	1.638019	0.898786	3.328772	-2.349968
-2.056854	0.138065	-2.370189	1.169627	1.190822	-0.967495	1.875972	4.641015	-0.861189
-0.960303	-0.690804	-1.039638	-0.122686	0.129293	-1.294697	2.310953	3.341874	-0.985170
-2.368213	0.576838	-2.681504	-0.667034	-0.933345	-0.690487	1.708728	1.711550	0.010089
-1.747286	-1.169011	0.837813	-1.138218	-2.110090	0.857832	2.589596	1.539441	0.116188
-0.648523	1.395748	0.818712	2.120461	-0.380744	3.726159	2.654554	-0.228452	1.886426
-1.267923	1.065916	1.071192	0.161201	-0.898605	3.405294	1.329401	-0.752330	1.578601
-1.849389	1.419491	4.386453	0.708301	0.498025	2.815034	1.888235	-2.282794	0.909515
