C1	C2	C3
2.4783	830.9220	*
0.1645	270.9483	*
1.3174	583.0541	*
3.2949	1003.4724	*
4.2115	1390.0178	*
0.5943	327.7225	*
4.3657	1485.8188	*
26.0635	13940.1148	*
7.5929	3641.6299	*
0.0508	309.5136	*
2.1291	720.9925	*
1.0596	754.2250	*
6.0725	2132.8842	*
3.6955	1967.8670	*
7.3666	11761.4035	*
5.3051	1844.1748	*
4.6337	1449.4700	*
7.0840	2468.5898	*
14.2287	3369.4720	*
1.7675	830.6305	*
3.5592	1263.2641	*
0.4989	563.2073	*
0.5040	290.0063	*
8.4567	1922.9323	*
4.7757	5441.0869	*
2.1425	834.1249	*
3.4068	2199.5480	*
1.2695	455.3670	*
0.4536	740.7753	*
1.6008	910.2874	*
7.6072	2271.8374	*
4.6356	1915.8928	*
2.6414	469.9269	*
6.8654	1502.9457	*
6.5152	1905.0606	*
0.1335	106.9927	*
0.1651	194.6098	*
4.3700	1549.0917	*
5.7478	2072.6705	*
31.7688	14604.7443	*
0.1268	256.0849	*
8.6621	2921.8332	*
3.2822	959.3295	*
4.1900	1490.7171	*
1.2909	483.8316	*
17.0635	6888.9566	*
3.8248	1445.7267	*
9.8969	2757.3814	*
2.2326	779.9416	*
1.0435	676.1261	*
0.3337	480.8407	*
6.3354	2634.1992	*
9.6474	3187.0673	*
3.4289	1620.6017	*
9.1190	2620.0458	*
1.5484	617.6047	*
8.3385	4218.1780	*
1.5915	905.6818	*
8.6873	2854.9742	*
0.1368	273.8496	*
16.8388	4759.1199	*
0.8975	485.3423	*
16.9569	4868.1463	*
2.7066	870.7294	*
9.9500	3393.2994	*
0.3250	261.1995	*
1.1951	548.9192	*
14.2866	4501.3262	*
10.1691	6940.9555	*
6.9588	8193.7985	*
2.6386	1046.1464	*
0.8084	772.1579	*
8.2040	2688.9118	*
9.4552	3536.0205	*
13.7376	4596.8737	*
0.4056	732.0620	*
0.9119	277.6457	*
7.2506	625.5970	*
1.0564	572.0582	*
1.9294	447.0381	*
6.4432	4388.7223	*
7.8942	3218.7612	*
5.7657	3238.6393	*
0.4165	469.8950	*
15.7604	7013.8646	*
3.3689	649.9770	*
0.0279	301.5476	*
63.1360	19275.1452	*
0.3512	120.3905	*
10.6653	5064.6707	*
13.8874	3817.6469	*
10.9980	4290.6258	*
1.6306	567.4037	*
0.6789	434.5627	*
20.8763	8246.0621	*
0.0423	305.1343	*
6.4166	4133.7962	*
1.1415	451.7472	*
14.7423	5828.9442	*
0.4271	349.9534	*
15.1160	7454.7067	*
0.1587	270.4656	*
7.8717	3632.5695	*
2.5276	1066.7851	*
1.7455	687.1153	*
3.9302	1457.1627	*
9.6780	5965.0015	*
0.0740	427.8717	*
7.6473	3261.8783	*
5.4980	2473.4482	*
1.0306	376.0616	*
0.6675	429.9915	*
1.6205	876.2037	*
1.3713	1375.4597	*
3.4044	942.3385	*
3.2471	1503.6667	*
5.3677	1914.7510	*
0.0815	379.5445	*
0.1967	324.6054	*
2.8673	1141.3555	*
10.4399	3136.7236	*
1.1888	558.5185	*
6.9594	1364.1069	*
4.0929	2542.8345	*
10.0597	4332.5612	*
0.8197	417.5708	*
0.4045	396.4822	*
10.3105	4783.1422	*
0.1942	316.0881	*
3.0575	1005.7183	*
6.1305	2220.5164	*
2.5083	988.1827	*
0.9183	737.8153	*
4.9463	837.0942	*
2.3477	819.3739	*
0.4681	491.9989	*
2.5580	992.9106	*
0.5135	756.0016	*
55.8075	19020.4809	*
2.5765	1013.6560	*
1.6663	525.0621	*
2.1132	832.6333	*
31.0247	12140.0448	*
11.8574	4841.8699	*
0.2744	447.6146	*
1.6227	799.6876	*
9.9714	2548.0864	*
37.3570	14928.2233	*
10.7939	3974.4749	*
7.1419	2141.4821	*
0.3065	480.3454	*
6.6829	3517.8517	*
1.2800	950.0812	*
1.7328	1197.2139	*
11.5689	2428.2126	*
17.9309	11046.5455	*
18.5930	5684.5171	*
2.7836	1451.5945	*
11.4242	3539.7633	*
22.0349	8771.1680	*
1.7298	1146.8615	*
2.3779	987.0954	*
1.7033	1166.6126	*
3.7634	1292.9405	*
5.1534	2007.2512	*
0.8097	256.3668	*
1.2735	546.8784	*
1.7068	371.6477	*
5.0672	2264.9903	*
0.7490	390.1402	*
6.4270	1122.8929	*
5.6647	1672.8953	*
16.8664	5318.9734	*
3.5061	1170.8531	*
15.3531	4745.5617	*
1.1688	340.7954	*
52.6090	8524.0197	*
0.4227	421.5724	*
4.1640	1654.8952	*
0.1489	231.8812	*
3.1359	1227.4831	*
1.4852	932.4878	*
1.8940	716.2398	*
1.0986	493.8648	*
8.2796	3227.0002	*
9.3902	3966.7266	*
10.6374	3589.7272	*
3.2541	1262.3840	*
0.4827	310.5575	*
16.8599	4268.0662	*
0.5880	493.5406	*
80.8435	3547.5043	*
1.8488	725.6705	*
4.0831	1420.6862	*
0.4297	363.6935	*
1.4565	723.5396	*
5.6805	2507.1702	*
0.8968	393.1843	*
10.9340	3518.7573	*
0.5974	517.0922	*
9.7681	4403.1123	*
1.8231	844.0993	*
1.3845	587.8474	*
1.1103	481.9229	*
5.8325	3653.3578	*
8.4723	3786.9447	*
8.6447	2934.9348	*
2.2241	651.9813	*
2.6813	1067.3221	*
20.7538	9098.3282	*
23.1540	8451.6475	*
11.6261	3848.6103	*
0.5465	446.5048	*
13.5621	3687.4220	*
0.3592	274.2527	*
6.7676	1735.2230	*
0.6895	722.7473	*
0.0365	288.9146	*
8.2081	3054.2936	*
0.7625	606.7563	*
2.5485	914.6579	*
7.2186	2833.7740	*
0.9728	679.5006	*
1.0369	319.0669	*
8.0306	2584.5806	*
